percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,16.0,3911,100.0,140,140,140,0.0,0.0,0.0,0.0
0.995,8.0,3896,99.61646637688571,140,140,140,0.0,0.0,-0.0010549937516059467,6.410058003700203e-05
0.99,6.0,3878,99.15622602914856,140,139,139,0.0,0.0,-0.0023478130716210414,0.0002809121771168021
0.985,5.0,3856,98.59371004858093,140,139,139,0.0,0.0,-0.002642693143969917,0.0002790255416722573
0.98,5.0,3856,98.59371004858093,140,139,139,0.0,0.0,-0.002642693143969917,0.0002790255416722573
0.975,4.0,3814,97.5198159038609,140,137,137,0.0,0.0,-0.005029222016270956,-0.00045733177243170297
0.97,4.0,3814,97.5198159038609,140,137,137,0.0,0.0,-0.005029222016270956,-0.00045733177243170297
0.965,4.0,3814,97.5198159038609,140,137,137,0.0,0.0,-0.005029222016270956,-0.00045733177243170297
0.96,4.0,3814,97.5198159038609,140,137,137,0.0,0.0,-0.005029222016270956,-0.00045733177243170297
0.955,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.95,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.945,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.94,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.935,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.9299999999999999,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.925,3.0,3746,95.78113014574278,140,134,134,0.0,0.0,-0.007275076868349707,-0.000751707069892317
0.92,2.0,3599,92.0225006392227,140,128,128,0.0,0.0,-0.009965323534194276,0.0006786466159918432
0.915,2.0,3599,92.0225006392227,140,128,128,0.0,0.0,-0.009965323534194276,0.0006786466159918432
0.91,2.0,3599,92.0225006392227,140,128,128,0.0,0.0,-0.009965323534194276,0.0006786466159918432
0.905,2.0,3599,92.0225006392227,140,128,128,0.0,0.0,-0.009965323534194276,0.0006786466159918432
0.9,2.0,3599,92.0225006392227,140,128,128,0.0,0.0,-0.009965323534194276,0.0006786466159918432
