,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
1,0.995,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
2,0.99,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
3,0.985,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
4,0.98,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
5,0.975,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
6,0.97,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
7,0.965,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
8,0.96,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
9,0.955,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
10,0.95,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
11,0.945,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
12,0.94,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
13,0.935,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
14,0.9299999999999999,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
15,0.925,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
16,0.92,3.0,26,100.0,3,3,3,0.0,0.0,0.0,0.0
17,0.915,2.875,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
18,0.91,2.75,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
19,0.905,2.625,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
20,0.9,2.5,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
21,0.895,2.375,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
22,0.89,2.25,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
23,0.885,2.125,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
24,0.88,2.0,23,88.46153846153847,3,2,2,0.0016136513356233562,0.035442205376522096,0.007369706795068209,0.011150919071524046
25,0.875,1.875,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
26,0.87,1.75,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
27,0.865,1.625,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
28,0.86,1.5,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
29,0.855,1.375,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
30,0.85,1.25,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
31,0.845,1.125,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
32,0.84,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
33,0.835,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
34,0.83,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
35,0.825,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
36,0.8200000000000001,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
37,0.815,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
38,0.81,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
39,0.8049999999999999,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
40,0.8,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
41,0.7949999999999999,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
42,0.79,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
43,0.785,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
44,0.78,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
45,0.775,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
46,0.77,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
47,0.765,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
48,0.76,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
49,0.755,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
50,0.75,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
51,0.745,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
52,0.74,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
53,0.735,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
54,0.73,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
55,0.725,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
56,0.72,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
57,0.715,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
58,0.71,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
59,0.7050000000000001,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
60,0.7,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
61,0.6950000000000001,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
62,0.69,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
63,0.685,1.0,22,84.61538461538461,3,2,2,0.0028906408494940306,0.06067834032100532,0.03359484961442316,0.005085602529443345
