,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
98,D7C,0.88,2.0,2.0,0.008548172155454559,2,23
99,D7C,0.88,2.0,5.0,0.009435444508763657,2,23
100,D7C,0.875,1.875,0.0,0.006590001280015967,2,22
101,D7C,0.875,1.875,1.0,0.03359484961442316,2,22
102,D7C,0.875,1.875,2.0,0.041458223682098505,2,22
103,D7C,0.875,1.875,5.0,0.04149309613129659,2,22
104,D7C,0.87,1.75,0.0,0.006590001280015967,2,22
105,D7C,0.87,1.75,1.0,0.03359484961442316,2,22
106,D7C,0.87,1.75,2.0,0.041458223682098505,2,22
107,D7C,0.87,1.75,5.0,0.04149309613129659,2,22
108,D7C,0.865,1.625,0.0,0.006590001280015967,2,22
109,D7C,0.865,1.625,1.0,0.03359484961442316,2,22
110,D7C,0.865,1.625,2.0,0.041458223682098505,2,22
111,D7C,0.865,1.625,5.0,0.04149309613129659,2,22
112,D7C,0.86,1.5,0.0,0.006590001280015967,2,22
113,D7C,0.86,1.5,1.0,0.03359484961442316,2,22
114,D7C,0.86,1.5,2.0,0.041458223682098505,2,22
115,D7C,0.86,1.5,5.0,0.04149309613129659,2,22
116,D7C,0.855,1.375,0.0,0.006590001280015967,2,22
117,D7C,0.855,1.375,1.0,0.03359484961442316,2,22
118,D7C,0.855,1.375,2.0,0.041458223682098505,2,22
119,D7C,0.855,1.375,5.0,0.04149309613129659,2,22
120,D7C,0.85,1.25,0.0,0.006590001280015967,2,22
121,D7C,0.85,1.25,1.0,0.03359484961442316,2,22
122,D7C,0.85,1.25,2.0,0.041458223682098505,2,22
123,D7C,0.85,1.25,5.0,0.04149309613129659,2,22
124,D7C,0.845,1.125,0.0,0.006590001280015967,2,22
125,D7C,0.845,1.125,1.0,0.03359484961442316,2,22
126,D7C,0.845,1.125,2.0,0.041458223682098505,2,22
127,D7C,0.845,1.125,5.0,0.04149309613129659,2,22
128,D7C,0.84,1.0,0.0,0.006590001280015967,2,22
129,D7C,0.84,1.0,1.0,0.03359484961442316,2,22
130,D7C,0.84,1.0,2.0,0.041458223682098505,2,22
131,D7C,0.84,1.0,5.0,0.04149309613129659,2,22
132,D7C,0.835,1.0,0.0,0.006590001280015967,2,22
133,D7C,0.835,1.0,1.0,0.03359484961442316,2,22
134,D7C,0.835,1.0,2.0,0.041458223682098505,2,22
135,D7C,0.835,1.0,5.0,0.04149309613129659,2,22
136,D7C,0.83,1.0,0.0,0.006590001280015967,2,22
137,D7C,0.83,1.0,1.0,0.03359484961442316,2,22
138,D7C,0.83,1.0,2.0,0.041458223682098505,2,22
139,D7C,0.83,1.0,5.0,0.04149309613129659,2,22
140,D7C,0.825,1.0,0.0,0.006590001280015967,2,22
141,D7C,0.825,1.0,1.0,0.03359484961442316,2,22
142,D7C,0.825,1.0,2.0,0.041458223682098505,2,22
143,D7C,0.825,1.0,5.0,0.04149309613129659,2,22
144,D7C,0.8200000000000001,1.0,0.0,0.006590001280015967,2,22
145,D7C,0.8200000000000001,1.0,1.0,0.03359484961442316,2,22
146,D7C,0.8200000000000001,1.0,2.0,0.041458223682098505,2,22
147,D7C,0.8200000000000001,1.0,5.0,0.04149309613129659,2,22
148,D7C,0.815,1.0,0.0,0.006590001280015967,2,22
149,D7C,0.815,1.0,1.0,0.03359484961442316,2,22
150,D7C,0.815,1.0,2.0,0.041458223682098505,2,22
151,D7C,0.815,1.0,5.0,0.04149309613129659,2,22
152,D7C,0.81,1.0,0.0,0.006590001280015967,2,22
153,D7C,0.81,1.0,1.0,0.03359484961442316,2,22
154,D7C,0.81,1.0,2.0,0.041458223682098505,2,22
155,D7C,0.81,1.0,5.0,0.04149309613129659,2,22
156,D7C,0.8049999999999999,1.0,0.0,0.006590001280015967,2,22
157,D7C,0.8049999999999999,1.0,1.0,0.03359484961442316,2,22
158,D7C,0.8049999999999999,1.0,2.0,0.041458223682098505,2,22
159,D7C,0.8049999999999999,1.0,5.0,0.04149309613129659,2,22
160,D7C,0.8,1.0,0.0,0.006590001280015967,2,22
161,D7C,0.8,1.0,1.0,0.03359484961442316,2,22
162,D7C,0.8,1.0,2.0,0.041458223682098505,2,22
163,D7C,0.8,1.0,5.0,0.04149309613129659,2,22
164,D7C,0.7949999999999999,1.0,0.0,0.006590001280015967,2,22
165,D7C,0.7949999999999999,1.0,1.0,0.03359484961442316,2,22
166,D7C,0.7949999999999999,1.0,2.0,0.041458223682098505,2,22
167,D7C,0.7949999999999999,1.0,5.0,0.04149309613129659,2,22
168,D7C,0.79,1.0,0.0,0.006590001280015967,2,22
169,D7C,0.79,1.0,1.0,0.03359484961442316,2,22
170,D7C,0.79,1.0,2.0,0.041458223682098505,2,22
171,D7C,0.79,1.0,5.0,0.04149309613129659,2,22
172,D7C,0.785,1.0,0.0,0.006590001280015967,2,22
173,D7C,0.785,1.0,1.0,0.03359484961442316,2,22
174,D7C,0.785,1.0,2.0,0.041458223682098505,2,22
175,D7C,0.785,1.0,5.0,0.04149309613129659,2,22
176,D7C,0.78,1.0,0.0,0.006590001280015967,2,22
177,D7C,0.78,1.0,1.0,0.03359484961442316,2,22
178,D7C,0.78,1.0,2.0,0.041458223682098505,2,22
179,D7C,0.78,1.0,5.0,0.04149309613129659,2,22
180,D7C,0.775,1.0,0.0,0.006590001280015967,2,22
181,D7C,0.775,1.0,1.0,0.03359484961442316,2,22
182,D7C,0.775,1.0,2.0,0.041458223682098505,2,22
183,D7C,0.775,1.0,5.0,0.04149309613129659,2,22
