percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,28.0,331,100.0,27,27,27,0.0,0.0,0.0,0.0
0.995,15.770000000000095,329,99.39577039274924,27,27,27,0.0,0.0,-0.002482124970582126,-0.0003981144063764683
0.99,14.21999999999997,327,98.79154078549848,27,27,27,0.0,0.0,-0.005099910488313897,0.00012833267677685734
0.985,12.659999999999968,325,98.18731117824774,27,27,27,0.0,0.0,-0.004741459935501795,0.0009583754287992379
0.98,10.0,324,97.88519637462235,27,27,27,0.0,0.0,-0.0071290653700550755,0.0023908343674059144
0.975,9.0,322,97.2809667673716,27,27,27,0.0,0.0,-0.017361938515602308,0.002674615241719644
0.97,9.0,322,97.2809667673716,27,27,27,0.0,0.0,-0.017361938515602308,0.002674615241719644
0.965,8.539999999999964,318,96.07250755287009,27,26,26,0.0,0.0,-0.015955956439498882,0.0032068988642659853
0.96,6.0,317,95.7703927492447,27,26,26,0.0,0.0,-0.023018457223383557,0.0023415137235090785
0.955,5.0,315,95.16616314199396,27,26,26,0.0,0.0,-0.027112453129348076,0.0031760400255638923
0.95,5.0,315,95.16616314199396,27,26,26,0.0,0.0,-0.027112453129348076,0.0031760400255638923
0.945,4.2099999999999795,311,93.95770392749245,27,26,26,0.0,0.0,-0.035030433954245446,0.005626143182045611
0.94,4.0,311,93.95770392749245,27,26,26,0.0,0.0,-0.035030433954245446,0.005626143182045611
0.935,3.0,309,93.35347432024169,27,26,26,3.107196298673953e-05,0.008530004604096244,-0.04281797689207827,0.005656132153351175
0.9299999999999999,3.0,309,93.35347432024169,27,26,26,3.107196298673953e-05,0.008530004604096244,-0.04281797689207827,0.005656132153351175
0.925,2.0,305,92.14501510574019,27,26,26,0.00027720215994125885,0.027408172650676216,-0.04597019040145651,0.0046853693579186105
0.92,2.0,305,92.14501510574019,27,26,26,0.00027720215994125885,0.027408172650676216,-0.04597019040145651,0.0046853693579186105
0.915,2.0,305,92.14501510574019,27,26,26,0.00027720215994125885,0.027408172650676216,-0.04597019040145651,0.0046853693579186105
0.91,2.0,305,92.14501510574019,27,26,26,0.00027720215994125885,0.027408172650676216,-0.04597019040145651,0.0046853693579186105
0.905,1.0900000000000318,297,89.72809667673717,27,26,26,0.00259926387102849,0.08278311103745578,-0.08025837395591068,0.005380635950822854
0.9,1.0,297,89.72809667673717,27,26,26,0.00259926387102849,0.08278311103745578,-0.08025837395591068,0.005380635950822854
0.895,1.0,297,89.72809667673717,27,26,26,0.00259926387102849,0.08278311103745578,-0.08025837395591068,0.005380635950822854
