percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,2808,61.41732283464567,138,138,138,0.0,0.0,0.0,0.0
0.995,0.0,2808,61.41732283464567,138,138,138,0.0,0.0,0.0,0.0
0.99,0.0,2808,61.41732283464567,138,138,138,0.0,0.0,0.0,0.0
0.985,0.0,2808,61.41732283464567,138,138,138,0.0,0.0,0.0,0.0
0.98,1.0,2753,60.21434820647419,138,138,138,0.0,0.0,0.008809066523444185,-3.1885600182521246e-05
0.975,1.0,2753,60.21434820647419,138,138,138,0.0,0.0,0.008809066523444185,-3.1885600182521246e-05
0.97,1.0,2753,60.21434820647419,138,138,138,0.0,0.0,0.008809066523444185,-3.1885600182521246e-05
0.965,1.0,2753,60.21434820647419,138,138,138,0.0,0.0,0.008809066523444185,-3.1885600182521246e-05
0.96,1.0,2753,60.21434820647419,138,138,138,0.0,0.0,0.008809066523444185,-3.1885600182521246e-05
0.955,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.95,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.945,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.94,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.935,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.9299999999999999,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.925,2.0,2666,58.31146106736658,138,133,133,0.0,0.0,0.022750143389814924,0.0037362994051453294
0.92,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.915,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.91,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.905,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.9,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.895,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.89,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.885,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.88,3.0,2557,55.92738407699038,138,131,131,0.0023965935305707564,0.07039582847545375,0.028325524958966036,0.004786799765783469
0.875,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.87,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.865,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.86,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.855,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.85,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.845,4.0,2422,52.974628171478564,138,124,124,0.005621909478367271,0.11036611155233338,0.04314710154870365,0.006486432906885512
0.84,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.835,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.83,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.825,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.8200000000000001,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.815,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.81,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.8049999999999999,5.0,2308,50.48118985126859,138,119,119,0.010544428426606633,0.13818714358383602,0.05726728007670773,0.005623192869379507
0.8,5.199999999999818,2172,47.506561679790025,138,117,117,0.017668043046071835,0.18916230742630064,0.07755011452433062,0.011307814135819954
0.7949999999999999,6.0,2172,47.506561679790025,138,117,117,0.017668043046071835,0.18916230742630064,0.07755011452433062,0.011307814135819954
0.79,6.0,2172,47.506561679790025,138,117,117,0.017668043046071835,0.18916230742630064,0.07755011452433062,0.011307814135819954
0.785,6.0,2172,47.506561679790025,138,117,117,0.017668043046071835,0.18916230742630064,0.07755011452433062,0.011307814135819954
0.78,6.0,2172,47.506561679790025,138,117,117,0.017668043046071835,0.18916230742630064,0.07755011452433062,0.011307814135819954
0.775,6.0,2172,47.506561679790025,138,117,117,0.017668043046071835,0.18916230742630064,0.07755011452433062,0.011307814135819954
