sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxC,0.94,1.0,5.0,-0.006290462922180037,99,1016
BL6-BALBc_HTxC,0.935,1.0,0.0,-0.011710573415183546,99,1016
BL6-BALBc_HTxC,0.935,1.0,1.0,-0.010014565841261765,99,1016
BL6-BALBc_HTxC,0.935,1.0,2.0,-0.007693615916188946,99,1016
BL6-BALBc_HTxC,0.935,1.0,3.0,-0.0068553326350576415,99,1016
BL6-BALBc_HTxC,0.935,1.0,4.0,-0.0064947421879103006,99,1016
BL6-BALBc_HTxC,0.935,1.0,5.0,-0.006290462922180037,99,1016
BL6-BALBc_HTxC,0.9299999999999999,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.9299999999999999,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.9299999999999999,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.9299999999999999,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.9299999999999999,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.9299999999999999,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.925,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.925,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.925,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.925,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.925,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.925,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.92,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.92,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.92,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.92,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.92,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.92,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.915,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.915,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.915,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.915,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.915,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.915,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.91,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.91,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.91,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.91,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.91,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.91,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.905,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.905,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.905,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.905,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.905,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.905,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.9,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.9,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.9,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.9,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.9,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.9,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.895,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.895,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.895,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.895,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.895,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.895,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.89,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.89,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.89,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.89,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.89,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.89,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.885,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.885,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.885,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.885,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.885,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.885,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.88,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.88,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.88,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.88,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.88,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.88,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.875,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.875,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.875,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.875,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.875,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.875,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.87,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.87,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.87,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.87,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.87,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.87,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.865,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.865,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.865,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.865,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.865,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.865,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.86,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.86,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.86,0.0,2.0,-0.01767651299597496,97,977
