dataset,sample,n_cells_before,n_cells_after,n_clonotypes_ge5_before,n_clonotypes_ge5_after,chosen_q,Ts,sweep_csv,sweep_metrics_png,before_after_pdf,renyi_base_csv,renyi_after_csv,coherence_csv,coherence_png
BALBc_HIL,BL6-BALBc_HTxA,2697,0,111,0,0.925,,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/ly49c_sweep_metrics_alpha1.0.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/ly49c_sweep_metrics_2x3.png,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/clonotypes_RAW_and_PROP_before_after_q0.925.pdf,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/renyi_all_ge5_baseline.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/renyi_all_ge5_filtered_q0.925.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/coherence_before_vs_after_q0.925.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxA/coherence_before_vs_after_q0.925.png
BALBc_HIL,BL6-BALBc_HTxB,4020,3732,148,137,0.925,2.0,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/ly49c_sweep_metrics_alpha1.0.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/ly49c_sweep_metrics_2x3.png,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/clonotypes_RAW_and_PROP_before_after_q0.925.pdf,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/renyi_all_ge5_baseline.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/renyi_all_ge5_filtered_q0.925.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/coherence_before_vs_after_q0.925.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxB/coherence_before_vs_after_q0.925.png
BALBc_HIL,BL6-BALBc_HTxC,2598,2533,105,102,0.925,2.0,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/ly49c_sweep_metrics_alpha1.0.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/ly49c_sweep_metrics_2x3.png,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/clonotypes_RAW_and_PROP_before_after_q0.925.pdf,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/renyi_all_ge5_baseline.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/renyi_all_ge5_filtered_q0.925.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/coherence_before_vs_after_q0.925.csv,Comparison3_Samplewise_Outputs/BALBc_HIL/BL6-BALBc_HTxC/coherence_before_vs_after_q0.925.png
