percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.72,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.715,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.71,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.7050000000000001,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.7,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6950000000000001,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.69,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.685,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6799999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.675,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6699999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.665,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6599999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.655,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.6499999999999999,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.645,1.0,16,94.11764705882354,3,3,3,0.0,0.0,0.013408173747253263,-9.642010145020456e-05
0.64,0.9200000000000017,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.635,0.7800000000000011,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.63,0.6400000000000006,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.625,0.5,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.62,0.35999999999999943,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
0.615,0.21999999999999886,13,76.47058823529412,3,3,3,1.6259662960815824e-05,0.016951756521177065,0.01969538471955175,-0.0005152591141438512
