percentile,thresh_ly49C,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,115.0,2923,100.0,137,137,137,0.0,0.0,0.0,0.0
0.995,28.76000000000022,2909,99.52104002736914,137,137,137,0.0,0.0,-0.0017024135877296172,-0.0005226123853837814
0.99,16.0,2895,99.04208005473828,137,137,137,0.0,0.0,-0.007143181035587251,-0.0021668376168567775
0.985,12.0,2881,98.56312008210742,137,137,137,0.0,0.0,-0.009415206774670493,-0.0021621405083243417
0.98,10.0,2869,98.15258296270954,137,137,137,0.0,0.0,-0.014035600196058172,-0.0030873340547539142
0.975,9.0,2859,97.81046869654465,137,137,137,0.0,0.0,-0.01819457136405799,-0.0036278789344267558
0.97,8.0,2841,97.19466301744782,137,137,137,0.0,0.0,-0.02475343926174312,-0.0040055198031941144
0.965,7.0,2821,96.51043448511803,137,137,137,0.0,0.0,-0.030259848623706693,-0.004599368362791502
0.96,7.0,2821,96.51043448511803,137,137,137,0.0,0.0,-0.030259848623706693,-0.004599368362791502
0.955,6.0,2800,95.79199452617173,137,137,137,0.0,0.0,-0.03754035863196388,-0.006511309774857768
0.95,6.0,2800,95.79199452617173,137,137,137,0.0,0.0,-0.03754035863196388,-0.006511309774857768
0.945,6.0,2800,95.79199452617173,137,137,137,0.0,0.0,-0.03754035863196388,-0.006511309774857768
0.94,6.0,2800,95.79199452617173,137,137,137,0.0,0.0,-0.03754035863196388,-0.006511309774857768
0.935,5.0,2752,94.14984604858023,137,137,137,0.0,0.0,-0.051503465448959736,-0.007168581390926239
0.9299999999999999,5.0,2752,94.14984604858023,137,137,137,0.0,0.0,-0.051503465448959736,-0.007168581390926239
0.925,5.0,2752,94.14984604858023,137,137,137,0.0,0.0,-0.051503465448959736,-0.007168581390926239
0.92,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.915,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.91,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.905,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.9,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.895,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.89,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
0.885,4.0,2702,92.43927471775574,137,137,137,0.0009827870138200412,0.042987009052824085,-0.061409503345972345,-0.009129999272841322
