percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,96.0,7458,100.0,211,211,211,0.0,0.0,0.0,0.0
0.99,3.0,7388,99.06141056583535,211,210,210,0.0,0.0,-0.003838145814407515,-0.00015160025433310498
0.98,3.0,7388,99.06141056583535,211,210,210,0.0,0.0,-0.003838145814407515,-0.00015160025433310498
0.97,2.0,7247,97.17082327701797,211,208,208,0.0,0.0,-0.002915767954913318,-0.000255493620214484
0.96,2.0,7247,97.17082327701797,211,208,208,0.0,0.0,-0.002915767954913318,-0.000255493620214484
0.95,2.0,7247,97.17082327701797,211,208,208,0.0,0.0,-0.002915767954913318,-0.000255493620214484
0.94,2.0,7247,97.17082327701797,211,208,208,0.0,0.0,-0.002915767954913318,-0.000255493620214484
0.9299999999999999,2.0,7247,97.17082327701797,211,208,208,0.0,0.0,-0.002915767954913318,-0.000255493620214484
0.9199999999999999,2.0,7247,97.17082327701797,211,208,208,0.0,0.0,-0.002915767954913318,-0.000255493620214484
0.9099999999999999,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
0.9,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
0.89,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
0.88,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
0.87,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
0.86,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
0.85,1.0,6818,91.41861088763744,211,196,196,8.481443454111393e-06,0.012751079675819108,-0.013251762438486405,-0.00048375825618581175
