percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,340,100.0,16,16,16,0.0,0.0,0.0,0.0
0.995,0.0,340,100.0,16,16,16,0.0,0.0,0.0,0.0
0.99,0.0,340,100.0,16,16,16,0.0,0.0,0.0,0.0
0.985,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.98,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.975,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.97,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.965,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.96,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.955,1.0,335,98.52941176470588,16,16,16,0.0,0.0,0.0034779300899102084,0.0011273857362104778
0.95,1.1500000000000163,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.945,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.94,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.935,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.9299999999999999,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.925,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.92,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.915,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.91,2.0,322,94.70588235294117,16,16,16,0.0009192999726109763,0.06071684890209553,0.05337779497996926,0.00018683677548385694
0.905,2.4849999999999923,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.9,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.895,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.89,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.885,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.88,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.875,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.87,3.0,306,90.0,16,16,16,0.0048138963507609045,0.13614644136570875,0.07740257604581885,-0.0059893655009574925
0.865,3.0050000000000026,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.86,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.855,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.85,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.845,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.84,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.835,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.83,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.825,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.8200000000000001,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.815,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.81,4.0,292,85.88235294117646,16,16,16,0.013229333768049523,0.2084490623451913,0.08823460924975829,-0.008307580955688844
0.8049999999999999,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.8,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.7949999999999999,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.79,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.785,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.78,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.775,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.77,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.765,5.0,272,80.0,16,16,16,0.02144175463420428,0.28069497250401865,0.12134833683473459,-0.0034805578750840335
0.76,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.755,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.75,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.745,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.74,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.735,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.73,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.725,6.0,255,75.0,16,16,16,0.02250286638718152,0.29539051719103715,0.11008193723778324,-0.0034175124065996543
0.72,6.640000000000015,240,70.58823529411765,16,16,16,0.02250286638718152,0.3243614136240188,0.1000045902149492,0.0013330835008871795
0.715,7.0,240,70.58823529411765,16,16,16,0.02250286638718152,0.3243614136240188,0.1000045902149492,0.0013330835008871795
