percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,115.0,5213,100.0,153,153,153,0.0,0.0,0.0,0.0
0.99,16.0,5162,99.02167657778631,153,151,151,0.0,0.0,-0.006041928198886051,-0.0009197373829186118
0.98,10.0,5118,98.17763284097448,153,149,149,0.0,0.0,-0.015180928452848262,-0.0016436354152489583
0.97,8.0,5074,97.33358910416267,153,149,149,0.0,0.0,-0.02566217882926503,-0.002766653585184154
0.96,7.0,5037,96.62382505275274,153,149,149,0.0,0.0,-0.03011582626967157,-0.0026741526739052345
0.95,6.0,4996,95.83732975254172,153,147,147,0.0,0.0,-0.03177140670347434,-0.0029538465908882394
0.94,5.0,4904,94.07251103011701,153,145,145,0.0,0.0,-0.03571673806146675,-0.0019225381984016305
0.9299999999999999,5.0,4904,94.07251103011701,153,145,145,0.0,0.0,-0.03571673806146675,-0.0019225381984016305
0.92,4.0,4806,92.1925954344907,153,143,143,0.00042120003864154487,0.03868246228142448,-0.04221559352207794,-0.00426013645754889
0.91,4.0,4806,92.1925954344907,153,143,143,0.00042120003864154487,0.03868246228142448,-0.04221559352207794,-0.00426013645754889
0.9,4.0,4806,92.1925954344907,153,143,143,0.00042120003864154487,0.03868246228142448,-0.04221559352207794,-0.00426013645754889
0.89,4.0,4806,92.1925954344907,153,143,143,0.00042120003864154487,0.03868246228142448,-0.04221559352207794,-0.00426013645754889
0.88,4.0,4806,92.1925954344907,153,143,143,0.00042120003864154487,0.03868246228142448,-0.04221559352207794,-0.00426013645754889
0.87,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.86,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.85,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.84,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.83,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.8200000000000001,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.81,3.0,4581,87.87646268943027,153,141,141,0.0033168001304181294,0.08880765297536065,-0.06659865788236975,-0.006845050043716973
0.8,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.79,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.78,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.77,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.76,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.75,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.74,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.73,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.72,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.71,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.7,2.0,4207,80.70209092652983,153,133,133,0.008221366483305292,0.14223388134991002,-0.09558791188721241,-0.013214071359491323
0.69,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.6799999999999999,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.6699999999999999,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.6599999999999999,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.6499999999999999,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.64,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.63,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.62,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.61,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.6,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.59,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.5800000000000001,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.5700000000000001,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.56,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.55,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
0.54,1.0,3599,69.03894110876655,153,113,113,0.01952038158444558,0.22369746053889256,-0.13056224029821645,-0.013677588659566264
