sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.92,3.0,2.0,-0.003986266735019329,116,1287
BL6-BALBc_HTxB,0.92,3.0,5.0,-0.0026978816546652934,116,1287
BL6-BALBc_HTxB,0.915,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.915,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.915,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.915,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.91,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.91,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.91,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.91,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.905,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.905,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.905,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.905,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.9,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.9,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.9,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.9,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.895,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.895,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.895,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.895,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.89,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.89,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.89,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.89,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.885,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.885,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.885,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.885,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.88,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.88,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.88,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.88,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.875,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.875,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.875,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.875,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.87,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.87,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.87,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.87,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.865,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.865,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.865,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.865,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.86,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.86,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.86,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.86,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.855,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.855,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.855,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.855,2.0,5.0,-0.0015967869356509358,109,1235
BL6-BALBc_HTxB,0.85,2.0,0.0,-0.00887271891549382,109,1235
BL6-BALBc_HTxB,0.85,2.0,1.0,-0.00692516824491588,109,1235
BL6-BALBc_HTxB,0.85,2.0,2.0,-0.0029567884496635344,109,1235
BL6-BALBc_HTxB,0.85,2.0,5.0,-0.0015967869356509358,109,1235
