sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxA,0.915,2.0,1.0,-0.001000860794360862,15,238
BL6-B10BR_HTxA,0.915,2.0,2.0,-0.0002484423450154853,15,238
BL6-B10BR_HTxA,0.915,2.0,5.0,-0.00013903061621022838,15,238
BL6-B10BR_HTxA,0.91,2.0,0.0,-0.007179272321849428,15,238
BL6-B10BR_HTxA,0.91,2.0,1.0,-0.001000860794360862,15,238
BL6-B10BR_HTxA,0.91,2.0,2.0,-0.0002484423450154853,15,238
BL6-B10BR_HTxA,0.91,2.0,5.0,-0.00013903061621022838,15,238
BL6-B10BR_HTxA,0.905,2.0,0.0,-0.007179272321849428,15,238
BL6-B10BR_HTxA,0.905,2.0,1.0,-0.001000860794360862,15,238
BL6-B10BR_HTxA,0.905,2.0,2.0,-0.0002484423450154853,15,238
BL6-B10BR_HTxA,0.905,2.0,5.0,-0.00013903061621022838,15,238
BL6-B10BR_HTxA,0.9,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.9,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.9,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.9,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.895,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.895,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.895,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.895,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.89,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.89,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.89,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.89,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.885,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.885,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.885,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.885,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.88,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.88,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.88,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.88,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.875,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.875,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.875,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.875,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.87,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.87,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.87,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.87,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.865,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.865,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.865,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.865,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.86,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.86,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.86,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.86,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.855,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.855,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.855,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.855,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.85,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.85,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.85,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.85,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.845,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.845,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.845,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.845,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.84,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.84,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.84,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.84,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.835,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.835,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.835,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.835,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.83,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.83,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.83,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.83,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.825,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.825,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.825,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.825,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.8200000000000001,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.8200000000000001,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.8200000000000001,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.8200000000000001,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.815,1.0,0.0,-0.028658772187714326,15,222
BL6-B10BR_HTxA,0.815,1.0,1.0,0.0007134338584458185,15,222
BL6-B10BR_HTxA,0.815,1.0,2.0,0.002656354915782892,15,222
BL6-B10BR_HTxA,0.815,1.0,5.0,0.0023589472065823425,15,222
BL6-B10BR_HTxA,0.81,1.0,0.0,-0.028658772187714326,15,222
