sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,0.875,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.875,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.875,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.875,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.87,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.87,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.87,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.87,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.865,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.865,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.865,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.865,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.86,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.86,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.86,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.86,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.855,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.855,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.855,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.855,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.85,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.85,1.0,1.0,-0.007161734522526731,196,6551
BL6-B10BR_HTxC,0.85,1.0,2.0,-0.005976137947936145,196,6551
BL6-B10BR_HTxC,0.85,1.0,5.0,-0.0046097075146760485,196,6551
BL6-B10BR_HTxC,0.845,1.0,0.0,-0.011653987839783818,196,6551
BL6-B10BR_HTxC,0.845,1.0,1.0,-0.007161734522526731,196,6551
