percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,2476,57.15604801477377,156,156,156,0.0,0.0,0.0,0.0
0.995,0.0,2476,57.15604801477377,156,156,156,0.0,0.0,0.0,0.0
0.99,0.0,2476,57.15604801477377,156,156,156,0.0,0.0,0.0,0.0
0.985,1.0,2435,56.20960295475531,156,156,156,0.0,0.0,0.005275267935528459,9.327334299082398e-06
0.98,1.0,2435,56.20960295475531,156,156,156,0.0,0.0,0.005275267935528459,9.327334299082398e-06
0.975,1.0,2435,56.20960295475531,156,156,156,0.0,0.0,0.005275267935528459,9.327334299082398e-06
0.97,1.0,2435,56.20960295475531,156,156,156,0.0,0.0,0.005275267935528459,9.327334299082398e-06
0.965,1.0,2435,56.20960295475531,156,156,156,0.0,0.0,0.005275267935528459,9.327334299082398e-06
0.96,2.0,2368,54.662973222530006,156,152,152,0.0,0.0,0.012374668576102888,0.0020290833096811654
0.955,2.0,2368,54.662973222530006,156,152,152,0.0,0.0,0.012374668576102888,0.0020290833096811654
0.95,2.0,2368,54.662973222530006,156,152,152,0.0,0.0,0.012374668576102888,0.0020290833096811654
0.945,2.0,2368,54.662973222530006,156,152,152,0.0,0.0,0.012374668576102888,0.0020290833096811654
0.94,2.0,2368,54.662973222530006,156,152,152,0.0,0.0,0.012374668576102888,0.0020290833096811654
0.935,2.0,2368,54.662973222530006,156,152,152,0.0,0.0,0.012374668576102888,0.0020290833096811654
0.9299999999999999,3.0,2277,52.56232686980609,156,148,148,0.0,0.0,0.02169152144884089,0.00611396371057542
0.925,3.0,2277,52.56232686980609,156,148,148,0.0,0.0,0.02169152144884089,0.00611396371057542
0.92,3.0,2277,52.56232686980609,156,148,148,0.0,0.0,0.02169152144884089,0.00611396371057542
