percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,147.0,14194,100.0,436,436,436,0.0,0.0,0.0,0.0
0.995,15.0,14125,99.51387910384669,436,433,433,0.0,0.0,-0.0025938121295855476,6.0793812152243484e-06
0.99,12.0,14065,99.0911652811047,436,431,431,0.0,0.0,-0.005143548868739017,-2.735898498438129e-05
0.985,10.0,14001,98.64027053684656,436,429,429,0.0,0.0,-0.012247353620566363,3.452154596440894e-05
0.98,8.0,13911,98.00619980273355,436,426,426,0.0,0.0,-0.01664281376505288,0.0005114515987678498
0.975,8.0,13911,98.00619980273355,436,426,426,0.0,0.0,-0.01664281376505288,0.0005114515987678498
0.97,7.0,13824,97.39326475975764,436,423,423,0.0,0.0,-0.021312282504813346,0.0005129520044901981
0.965,6.0,13725,96.69578695223333,436,421,421,0.0,0.0,-0.02923865718356195,9.47782887883849e-05
0.96,6.0,13725,96.69578695223333,436,421,421,0.0,0.0,-0.02923865718356195,9.47782887883849e-05
0.955,5.0,13593,95.76581654220092,436,415,415,0.0,0.0,-0.037365324110247664,-0.00013429565123592992
0.95,5.0,13593,95.76581654220092,436,415,415,0.0,0.0,-0.037365324110247664,-0.00013429565123592992
0.945,4.0,13416,94.51881076511202,436,411,411,3.9840783936706536e-05,0.0109613659026685,-0.05143710587489777,4.8711293511912544e-05
0.94,4.0,13416,94.51881076511202,436,411,411,3.9840783936706536e-05,0.0109613659026685,-0.05143710587489777,4.8711293511912544e-05
0.935,4.0,13416,94.51881076511202,436,411,411,3.9840783936706536e-05,0.0109613659026685,-0.05143710587489777,4.8711293511912544e-05
0.9299999999999999,3.0,13205,93.03226715513597,436,406,406,0.0007262418956613392,0.04546203879220968,-0.05745758194826778,0.0013028211142919073
0.925,3.0,13205,93.03226715513597,436,406,406,0.0007262418956613392,0.04546203879220968,-0.05745758194826778,0.0013028211142919073
0.92,3.0,13205,93.03226715513597,436,406,406,0.0007262418956613392,0.04546203879220968,-0.05745758194826778,0.0013028211142919073
0.915,3.0,13205,93.03226715513597,436,406,406,0.0007262418956613392,0.04546203879220968,-0.05745758194826778,0.0013028211142919073
0.91,2.6300000000010186,12916,90.99619557559532,436,397,397,0.00250033757710455,0.07166503323946344,-0.06996795678046053,0.0012922066671499674
0.905,2.0,12916,90.99619557559532,436,397,397,0.00250033757710455,0.07166503323946344,-0.06996795678046053,0.0012922066671499674
0.9,2.0,12916,90.99619557559532,436,397,397,0.00250033757710455,0.07166503323946344,-0.06996795678046053,0.0012922066671499674
0.895,2.0,12916,90.99619557559532,436,397,397,0.00250033757710455,0.07166503323946344,-0.06996795678046053,0.0012922066671499674
