sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7ABC_combined,0.88,1.0,3.0,-0.0802065139327708,389,12601
D7ABC_combined,0.88,1.0,4.0,-0.07699406159162187,389,12601
D7ABC_combined,0.88,1.0,5.0,-0.07470827244453422,389,12601
D7ABC_combined,0.87,1.0,0.0,-0.1013268954606132,389,12601
D7ABC_combined,0.87,1.0,1.0,-0.09206916769037234,389,12601
D7ABC_combined,0.87,1.0,2.0,-0.08493659027115939,389,12601
D7ABC_combined,0.87,1.0,3.0,-0.0802065139327708,389,12601
D7ABC_combined,0.87,1.0,4.0,-0.07699406159162187,389,12601
D7ABC_combined,0.87,1.0,5.0,-0.07470827244453422,389,12601
D7ABC_combined,0.86,1.0,0.0,-0.1013268954606132,389,12601
D7ABC_combined,0.86,1.0,1.0,-0.09206916769037234,389,12601
D7ABC_combined,0.86,1.0,2.0,-0.08493659027115939,389,12601
D7ABC_combined,0.86,1.0,3.0,-0.0802065139327708,389,12601
D7ABC_combined,0.86,1.0,4.0,-0.07699406159162187,389,12601
D7ABC_combined,0.86,1.0,5.0,-0.07470827244453422,389,12601
D7ABC_combined,0.85,1.0,0.0,-0.1013268954606132,389,12601
D7ABC_combined,0.85,1.0,1.0,-0.09206916769037234,389,12601
D7ABC_combined,0.85,1.0,2.0,-0.08493659027115939,389,12601
D7ABC_combined,0.85,1.0,3.0,-0.0802065139327708,389,12601
D7ABC_combined,0.85,1.0,4.0,-0.07699406159162187,389,12601
D7ABC_combined,0.85,1.0,5.0,-0.07470827244453422,389,12601
D7ABC_combined,0.84,1.0,0.0,-0.1013268954606132,389,12601
D7ABC_combined,0.84,1.0,1.0,-0.09206916769037234,389,12601
D7ABC_combined,0.84,1.0,2.0,-0.08493659027115939,389,12601
D7ABC_combined,0.84,1.0,3.0,-0.0802065139327708,389,12601
D7ABC_combined,0.84,1.0,4.0,-0.07699406159162187,389,12601
D7ABC_combined,0.84,1.0,5.0,-0.07470827244453422,389,12601
D7ABC_combined,0.83,1.0,0.0,-0.1013268954606132,389,12601
D7ABC_combined,0.83,1.0,1.0,-0.09206916769037234,389,12601
D7ABC_combined,0.83,1.0,2.0,-0.08493659027115939,389,12601
D7ABC_combined,0.83,1.0,3.0,-0.0802065139327708,389,12601
D7ABC_combined,0.83,1.0,4.0,-0.07699406159162187,389,12601
D7ABC_combined,0.83,1.0,5.0,-0.07470827244453422,389,12601
D7ABC_combined,0.8200000000000001,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.8200000000000001,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.8200000000000001,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.8200000000000001,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.8200000000000001,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.8200000000000001,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.81,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.81,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.81,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.81,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.81,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.81,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.8,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.8,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.8,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.8,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.8,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.8,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.79,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.79,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.79,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.79,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.79,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.79,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.78,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.78,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.78,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.78,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.78,0.0,4.0,-0.10315721543287748,355,11667
