sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7ABC_combined,0.6599999999999999,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.6599999999999999,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.6599999999999999,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.6599999999999999,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.6599999999999999,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.6499999999999999,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.6499999999999999,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.6499999999999999,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.6499999999999999,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.6499999999999999,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.6499999999999999,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.64,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.64,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.64,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.64,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.64,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.64,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.63,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.63,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.63,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.63,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.63,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.63,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.62,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.62,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.62,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.62,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.62,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.62,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.61,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.61,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.61,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.61,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.61,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.61,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.6,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.6,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.6,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.6,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.6,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.6,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.59,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.59,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.59,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.59,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.59,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.59,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.5800000000000001,0.0,0.0,-0.15082194310692867,355,11667
D7ABC_combined,0.5800000000000001,0.0,1.0,-0.12928330712018196,355,11667
D7ABC_combined,0.5800000000000001,0.0,2.0,-0.11561145285355158,355,11667
D7ABC_combined,0.5800000000000001,0.0,3.0,-0.10792131636883297,355,11667
D7ABC_combined,0.5800000000000001,0.0,4.0,-0.10315721543287748,355,11667
D7ABC_combined,0.5800000000000001,0.0,5.0,-0.09994230906718637,355,11667
D7ABC_combined,0.5700000000000001,0.0,0.0,-0.15082194310692867,355,11667
