dataset,sample,n_cells_before,n_cells_after,n_clonotypes_ge5_before,n_clonotypes_ge5_after,chosen_q,Ts,sweep_csv,sweep_metrics_png,before_after_pdf,renyi_base_csv,renyi_after_csv,coherence_csv,coherence_png
B10BR_HIL,BL6-B10BR_HTxA,571,550,18,18,0.925,2.0,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/ly49c_sweep_metrics_alpha1.0.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/ly49c_sweep_metrics_2x3.png,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/clonotypes_RAW_and_PROP_before_after_q0.925.pdf,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/renyi_all_ge5_baseline.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/renyi_all_ge5_filtered_q0.925.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/coherence_before_vs_after_q0.925.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxA/coherence_before_vs_after_q0.925.png
B10BR_HIL,BL6-B10BR_HTxB,7501,7289,212,209,0.925,2.0,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/ly49c_sweep_metrics_alpha1.0.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/ly49c_sweep_metrics_2x3.png,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/clonotypes_RAW_and_PROP_before_after_q0.925.pdf,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/renyi_all_ge5_baseline.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/renyi_all_ge5_filtered_q0.925.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/coherence_before_vs_after_q0.925.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxB/coherence_before_vs_after_q0.925.png
B10BR_HIL,BL6-B10BR_HTxC,10852,10145,246,238,0.925,1.0,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/ly49c_sweep_metrics_alpha1.0.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/ly49c_sweep_metrics_2x3.png,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/clonotypes_RAW_and_PROP_before_after_q0.925.pdf,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/renyi_all_ge5_baseline.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/renyi_all_ge5_filtered_q0.925.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/coherence_before_vs_after_q0.925.csv,Comparison3_Samplewise_Outputs/B10BR_HIL/BL6-B10BR_HTxC/coherence_before_vs_after_q0.925.png
