sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.89,2.0,0.0,-0.1032900613175901,138,2924
D7A,0.89,2.0,1.0,-0.09445093470209105,138,2924
D7A,0.89,2.0,2.0,-0.08760628225543012,138,2924
D7A,0.89,2.0,5.0,-0.07722794004141534,138,2924
D7A,0.885,2.0,0.0,-0.1032900613175901,138,2924
D7A,0.885,2.0,1.0,-0.09445093470209105,138,2924
D7A,0.885,2.0,2.0,-0.08760628225543012,138,2924
D7A,0.885,2.0,5.0,-0.07722794004141534,138,2924
D7A,0.88,2.0,0.0,-0.1032900613175901,138,2924
D7A,0.88,2.0,1.0,-0.09445093470209105,138,2924
D7A,0.88,2.0,2.0,-0.08760628225543012,138,2924
D7A,0.88,2.0,5.0,-0.07722794004141534,138,2924
D7A,0.875,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.875,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.875,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.875,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.87,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.87,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.87,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.87,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.865,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.865,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.865,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.865,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.86,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.86,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.86,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.86,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.855,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.855,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.855,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.855,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.85,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.85,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.85,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.85,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.845,1.0,0.0,-0.1281103738856606,134,2868
D7A,0.845,1.0,1.0,-0.11657466582883308,134,2868
D7A,0.845,1.0,2.0,-0.10740850831799162,134,2868
D7A,0.845,1.0,5.0,-0.09411791784934637,134,2868
D7A,0.84,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.84,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.84,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.84,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.835,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.835,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.835,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.835,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.83,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.83,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.83,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.83,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.825,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.825,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.825,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.825,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.8200000000000001,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.8200000000000001,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.8200000000000001,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.8200000000000001,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.815,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.815,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.815,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.815,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.81,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.81,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.81,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.81,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.8049999999999999,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.8049999999999999,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.8049999999999999,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.8049999999999999,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.8,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.8,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.8,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.8,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.7949999999999999,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.7949999999999999,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.7949999999999999,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.7949999999999999,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.79,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.79,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.79,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.79,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.785,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.785,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.785,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.785,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.78,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.78,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.78,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.78,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.775,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.775,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.775,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.775,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.77,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.77,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.77,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.77,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.765,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.765,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.765,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.765,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.76,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.76,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.76,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.76,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.755,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.755,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.755,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.755,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.75,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.75,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.75,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.75,0.0,5.0,-0.10464588360880761,128,2762
D7A,0.745,0.0,0.0,-0.1496393445723271,128,2762
D7A,0.745,0.0,1.0,-0.13219398169685323,128,2762
D7A,0.745,0.0,2.0,-0.12011481329814913,128,2762
D7A,0.745,0.0,5.0,-0.10464588360880761,128,2762
