percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,47.0,3114,100.0,143,143,143,0.0,0.0,0.0,0.0
0.995,15.0,3105,99.71098265895954,143,142,142,0.0,0.0,-0.0010483146670701097,-3.109298718313548e-05
0.99,12.0,3086,99.10083493898523,143,141,141,0.0,0.0,-0.005603568553232354,-0.0005917791094100132
0.985,10.0,3075,98.74759152215799,143,140,140,0.0,0.0,-0.012986882308689838,-0.0009619489375617036
0.98,8.0,3054,98.07321772639692,143,140,140,0.0,0.0,-0.020231672207140537,-0.00039067849214194193
0.975,7.0,3039,97.59152215799615,143,140,140,0.0,0.0,-0.02549092167965112,-0.0006044854070123832
0.97,6.0,3024,97.10982658959537,143,140,140,0.0,0.0,-0.02939123260175789,-0.0018254394812928097
0.965,6.0,3024,97.10982658959537,143,140,140,0.0,0.0,-0.02939123260175789,-0.0018254394812928097
0.96,5.0,2997,96.24277456647398,143,137,137,0.0,0.0,-0.03882553266914291,-0.0032403010643122883
0.955,5.0,2997,96.24277456647398,143,137,137,0.0,0.0,-0.03882553266914291,-0.0032403010643122883
0.95,4.0,2951,94.76557482337829,143,133,133,0.00018968092851689988,0.025361008560235657,-0.05590960874616124,-0.005155953960288537
0.945,4.0,2951,94.76557482337829,143,133,133,0.00018968092851689988,0.025361008560235657,-0.05590960874616124,-0.005155953960288537
0.94,4.0,2951,94.76557482337829,143,133,133,0.00018968092851689988,0.025361008560235657,-0.05590960874616124,-0.005155953960288537
0.935,3.0,2911,93.48105330764291,143,131,131,0.0006238719169320284,0.04195305099780705,-0.06307077654965787,-0.004186119999285683
0.9299999999999999,3.0,2911,93.48105330764291,143,131,131,0.0006238719169320284,0.04195305099780705,-0.06307077654965787,-0.004186119999285683
0.925,3.0,2911,93.48105330764291,143,131,131,0.0006238719169320284,0.04195305099780705,-0.06307077654965787,-0.004186119999285683
0.92,3.0,2911,93.48105330764291,143,131,131,0.0006238719169320284,0.04195305099780705,-0.06307077654965787,-0.004186119999285683
0.915,3.0,2911,93.48105330764291,143,131,131,0.0006238719169320284,0.04195305099780705,-0.06307077654965787,-0.004186119999285683
0.91,3.0,2911,93.48105330764291,143,131,131,0.0006238719169320284,0.04195305099780705,-0.06307077654965787,-0.004186119999285683
0.905,2.0,2840,91.20102761721259,143,128,128,0.0018549254315870511,0.06731019958701451,-0.07960362382821642,-0.0048027824479611484
