percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,2023.0,4787,100.0,166,166,166,0.0,0.0,0.0,0.0
0.99,13.0,4745,99.12262377271777,166,165,165,0.0,0.0,-0.005307401232248361,-0.00039945788059892823
0.98,8.0,4694,98.05723835387508,166,163,163,0.0,0.0,-0.011216551269144528,-0.002084824959121305
0.97,7.0,4680,97.76477961144766,166,163,163,0.0,0.0,-0.0159013432852075,-0.00265483902582722
0.96,6.0,4640,96.92918320451223,166,162,162,0.0,0.0,-0.01648703150646447,-0.0030725423762846117
0.95,5.0,4587,95.82201796532274,166,162,162,0.0,0.0,-0.02092654978257841,-0.004305708329629903
0.94,4.0,4500,94.00459578023815,166,160,160,0.0,0.0,-0.02480669255197076,-0.004116619977199069
0.9299999999999999,4.0,4500,94.00459578023815,166,160,160,0.0,0.0,-0.02480669255197076,-0.004116619977199069
0.92,4.0,4500,94.00459578023815,166,160,160,0.0,0.0,-0.02480669255197076,-0.004116619977199069
0.91,3.0,4361,91.10089826613745,166,156,156,0.00029021641968396406,0.03316802228656418,-0.044650630533098874,-0.008953861032686786
0.9,3.0,4361,91.10089826613745,166,156,156,0.00029021641968396406,0.03316802228656418,-0.044650630533098874,-0.008953861032686786
0.89,3.0,4361,91.10089826613745,166,156,156,0.00029021641968396406,0.03316802228656418,-0.044650630533098874,-0.008953861032686786
0.88,3.0,4361,91.10089826613745,166,156,156,0.00029021641968396406,0.03316802228656418,-0.044650630533098874,-0.008953861032686786
0.87,3.0,4361,91.10089826613745,166,156,156,0.00029021641968396406,0.03316802228656418,-0.044650630533098874,-0.008953861032686786
0.86,3.0,4361,91.10089826613745,166,156,156,0.00029021641968396406,0.03316802228656418,-0.044650630533098874,-0.008953861032686786
0.85,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.84,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.83,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.8200000000000001,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.81,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.8,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.79,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.78,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.77,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.76,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.75,2.0,4100,85.64863171088365,166,149,149,0.00332004507023409,0.08293658096289677,-0.05987969721073931,-0.012129955471302002
0.74,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.73,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.72,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.71,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.7,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.69,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.6799999999999999,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.6699999999999999,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.6599999999999999,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
