percentile,thresh_eeepvkki,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,56.0,2456,100.0,139,139,139,0.0,0.0,0.0,0.0
0.995,18.0,2443,99.47068403908794,139,139,139,0.0,0.0,-0.004489650351476247,0.0003857753616551873
0.99,12.0,2431,98.98208469055375,139,137,137,0.0,0.0,-0.006142537182879929,0.00030997591346656523
0.985,11.0,2424,98.6970684039088,139,137,137,0.0,0.0,-0.010296649605946038,0.00035343060530525797
0.98,9.0,2405,97.92345276872965,139,136,136,0.0,0.0,-0.018684196290206553,0.00028420481077868635
0.975,8.0,2397,97.59771986970684,139,136,136,0.0,0.0,-0.02095246953412419,-2.9808371512728303e-05
0.97,8.0,2397,97.59771986970684,139,136,136,0.0,0.0,-0.02095246953412419,-2.9808371512728303e-05
0.965,7.0,2378,96.82410423452768,139,134,134,0.0,0.0,-0.02398103219076892,0.0006921103279799145
0.96,6.0,2361,96.13192182410424,139,134,134,0.0,0.0,-0.030162688969430772,0.001359881462448366
0.955,6.0,2361,96.13192182410424,139,134,134,0.0,0.0,-0.030162688969430772,0.001359881462448366
0.95,5.0,2335,95.07328990228012,139,133,133,0.0,0.0,-0.04012998389680599,0.0003555147558976934
0.945,5.0,2335,95.07328990228012,139,133,133,0.0,0.0,-0.04012998389680599,0.0003555147558976934
0.94,5.0,2335,95.07328990228012,139,133,133,0.0,0.0,-0.04012998389680599,0.0003555147558976934
0.935,4.0,2295,93.44462540716613,139,133,133,0.00015625005622388333,0.022880981461472286,-0.05475308153740739,0.001536552359935984
0.9299999999999999,4.0,2295,93.44462540716613,139,133,133,0.00015625005622388333,0.022880981461472286,-0.05475308153740739,0.001536552359935984
0.925,4.0,2295,93.44462540716613,139,133,133,0.00015625005622388333,0.022880981461472286,-0.05475308153740739,0.001536552359935984
0.92,3.0,2253,91.73452768729642,139,131,131,0.0005998526008494931,0.04333272936214113,-0.0633019080630762,0.0020003020618628025
