sample,percentile,thresh_eeepvkki,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.875,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.875,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.875,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.87,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.87,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.87,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.87,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.865,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.865,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.865,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.865,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.86,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.86,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.86,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.86,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.855,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.855,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.855,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.855,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.85,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.85,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.85,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.85,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.845,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.845,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.845,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.845,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.84,1.0,0.0,-0.12611173729469077,124,2562
D7A,0.84,1.0,1.0,-0.11443015035838693,124,2562
D7A,0.84,1.0,2.0,-0.10529365343295655,124,2562
D7A,0.84,1.0,5.0,-0.09231347178035211,124,2562
D7A,0.835,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.835,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.835,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.835,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.83,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.83,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.83,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.83,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.825,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.825,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.825,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.825,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.8200000000000001,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.8200000000000001,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.8200000000000001,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.8200000000000001,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.815,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.815,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.815,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.815,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.81,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.81,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.81,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.81,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.8049999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.8049999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.8049999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.8049999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.8,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.8,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.8,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.8,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.7949999999999999,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.7949999999999999,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.7949999999999999,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.7949999999999999,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.79,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.79,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.79,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.79,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.785,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.785,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.785,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.785,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.78,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.78,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.78,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.78,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.775,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.775,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.775,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.775,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.77,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.77,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.77,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.77,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.765,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.765,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.765,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.765,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.76,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.76,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.76,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.76,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.755,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.755,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.755,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.755,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.75,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.75,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.75,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.75,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.745,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.745,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.745,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.745,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.74,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.74,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.74,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.74,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.735,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.735,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.735,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.735,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.73,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.73,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.73,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.73,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.725,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.725,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.725,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.725,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.72,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.72,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.72,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.72,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.715,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.715,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.715,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.715,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.71,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.71,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.71,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.71,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.7050000000000001,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.7050000000000001,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.7050000000000001,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.7050000000000001,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.7,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.7,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.7,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.7,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.6950000000000001,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.6950000000000001,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.6950000000000001,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.6950000000000001,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.69,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.69,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.69,0.0,2.0,-0.11856274720330799,118,2465
D7A,0.69,0.0,5.0,-0.10330929929219053,118,2465
D7A,0.685,0.0,0.0,-0.1485915295696911,118,2465
D7A,0.685,0.0,1.0,-0.13075284699358472,118,2465
D7A,0.685,0.0,2.0,-0.11856274720330799,118,2465
